pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal,four_algorithm_signal
Abnormal sensation in eye,expanded_chemo,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Laryngopharyngitis,expanded_chemo,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Compression fracture,expanded_chemo,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Corneal erosion,expanded_chemo,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Discouragement,expanded_chemo,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Paraesthesia oral,expanded_chemo,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Incorrect drug administration rate,expanded_chemo,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Respiratory syncytial virus test positive,expanded_chemo,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Duodenal perforation,expanded_chemo,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Inflammation,expanded_chemo,2,180,1,2128,182,2129,23.644444444444446,2.1336020952921038,262.0262486243391,23.395604395604398,7.347003690623798,1.7636382033899847,-1.9858016898061406,0.2362613587191692,6.145325973326602,2.167550832629203,False,False,False,False,False,False
Osteonecrosis of jaw,expanded_chemo,3,179,3,2126,182,2129,11.87709497206704,2.3798204112359236,59.275642947460895,11.697802197802199,9.467658846851066,1.8475510661234253,-1.3937769891208187,0.4725227174383384,5.503360212495997,2.253323181858864,True,True,False,True,False,False
Cerebral haemorrhage,expanded_chemo,2,180,2,2127,182,2129,11.816666666666666,1.6546915983521215,84.3864870349071,11.697802197802199,4.8469752347761395,1.6170293214076006,-1.989757921131663,0.31501514495889227,5.268515394866167,1.8582862781288971,False,False,False,False,False,False
Ocular hyperaemia,expanded_chemo,2,180,2,2127,182,2129,11.816666666666666,1.6546915983521215,84.3864870349071,11.697802197802199,4.8469752347761395,1.6170293214076006,-1.989757921131663,0.31501514495889227,5.268515394866167,1.8582862781288971,False,False,False,False,False,False
Somnolence,expanded_chemo,2,180,2,2127,182,2129,11.816666666666666,1.6546915983521215,84.3864870349071,11.697802197802199,4.8469752347761395,1.6170293214076006,-1.989757921131663,0.31501514495889227,5.268515394866167,1.8582862781288971,False,False,False,False,False,False
Cerebrovascular accident,expanded_chemo,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Intentional product use issue,expanded_chemo,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Skin irritation,expanded_chemo,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Erythema multiforme,expanded_chemo,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Swelling,expanded_chemo,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Coronavirus infection,expanded_chemo,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Leukoencephalopathy,expanded_chemo,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Herpes zoster,expanded_chemo,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Conjunctivitis,expanded_chemo,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Osteomyelitis,expanded_chemo,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
