pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal
Nausea,full_faers_excluding_all_dato,16,180,68027,1741692,196,1809719,2.2758179350355987,1.3647454572792337,3.7951013105075884,2.1716695321755495,9.324914761918404,1.0682984608813306,-0.156758680831111,7.368538301522447,2.1110651714640882,1.3677305996461158,True,True,False,False,False
Amnesia,full_faers_excluding_all_dato,1,195,4162,1805557,196,1809719,2.224715681563351,0.3117276216367255,15.877193807232343,2.2184671321676195,0.005377732175000957,0.6577165686560478,-3.0490169976385646,0.4508211711599716,1.3555939098666643,0.13642085896219955,False,False,False,False,False
Hyponatraemia,full_faers_excluding_all_dato,1,195,4177,1805542,196,1809719,2.2167081023676665,0.310605859918954,15.820032540225128,2.2105004079678316,0.005010332980281513,0.6552539671791475,-3.049544499269735,0.452445556835542,1.350739183004805,0.1359323011399039,False,False,False,False,False
Hypoacusis,full_faers_excluding_all_dato,1,195,4216,1805503,196,1809719,2.1961550625212864,0.30772662737291745,15.673317255035656,2.190052230569647,0.00412151454063561,0.6488708067140886,-3.0509224675439137,0.456668959592025,1.338278124971065,0.1346782764440362,False,False,False,False,False
Platelet count decreased,full_faers_excluding_all_dato,2,194,8635,1801084,196,1809719,2.1503041446044926,0.5338683102116558,8.660952197125386,2.138566347210569,0.34258355504453186,0.8005543993558341,-2.160702883815324,0.9353212719934362,1.687797965712292,0.40335347025704665,False,False,False,False,False
Therapy cessation,full_faers_excluding_all_dato,1,195,4323,1805396,196,1809719,2.1416703737314426,0.3000939204751358,15.284388242376975,2.1358455248858736,0.0021573413933433008,0.6315016956926462,-3.0547496982457334,0.46825624407776056,1.3052416638625781,0.13135363595348226,False,False,False,False,False
Off label use,full_faers_excluding_all_dato,26,170,124227,1685492,196,1809719,2.0750813382901034,1.3733095274550216,3.1354639827625275,1.9324685077006003,11.5770115618662,0.925142739835843,-0.010095381957124339,13.455652889776593,1.8991763768852865,1.3572924309566698,True,False,False,False,False
Malaise,full_faers_excluding_all_dato,7,189,32322,1777397,196,1809719,2.03667837752981,0.9577540000648588,4.331027396613904,1.9996541497608882,2.616025101151175,0.9065356279662699,-0.8440528282442689,3.500984300367697,1.8735847625190227,0.9488932696578373,False,False,False,False,False
Herpes zoster,full_faers_excluding_all_dato,1,195,4609,1805110,196,1809719,2.0084561421076934,0.2814316998076529,14.333481542865004,2.0033109577091843,1.1974105623013048e-06,0.5860768873622714,-3.065291403998544,0.4992278642919695,1.224449319618347,0.12322305870675222,False,False,False,False,False
Feeling hot,full_faers_excluding_all_dato,1,195,4686,1805033,196,1809719,1.9753690753690754,0.2767963920902888,14.097304355945676,1.9703927025355594,0.0,0.5740876155860786,-3.0682010844824674,0.5075663774265642,1.2043784154604462,0.1212032134083633,False,False,False,False,False
Eye pruritus,full_faers_excluding_all_dato,1,195,4788,1804931,196,1809719,1.9331780305464517,0.27088562255126514,13.796144891669899,1.9284169181457043,0.0,0.5583575989664477,-3.0720985498871,0.518612200020443,1.1787825817879611,0.11862736411453056,False,False,False,False,False
Pyrexia,full_faers_excluding_all_dato,6,190,29369,1780350,196,1809719,1.9143171012757814,0.8492314586432654,4.315207505491496,1.8863278022571348,1.7184860716737564,0.8203072380768597,-1.0242107910891494,3.1810886146586994,1.7480378114158162,0.8325674131433561,False,False,False,False,False
Lung disorder,full_faers_excluding_all_dato,1,195,4875,1804844,196,1809719,1.8985867192636423,0.26603950121559466,13.549234283232018,1.8940020931449502,0.0,0.5450750308870201,-3.0754599044608795,0.5280336369387513,1.1577952532379039,0.11651529399730622,False,False,False,False,False
Dehydration,full_faers_excluding_all_dato,2,194,9972,1799747,196,1809719,1.8606190115829477,0.46195641386297587,7.494003768266253,1.851837184934142,0.1641551497058053,0.6619047591982474,-2.211872039474616,1.0801081818759444,1.46178852856314,0.3493412646276366,False,False,False,False,False
