pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal,four_algorithm_signal
Corneal epitheliopathy,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Infectious iridocyclitis,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Intraocular pressure increased,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Faeces soft,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Breast haemorrhage,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Pelvic fracture,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Breast pain,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Glossodynia,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Melaena,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Procedural shock,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Anuria,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Disseminated intravascular coagulation,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Herpes zoster,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Infusion related hypersensitivity reaction,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Urinary bladder rupture,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Abnormal sensation in eye,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
Laryngopharyngitis,trial_aligned_chemo,1,181,0,940,182,940,15.545454545454545,0.630753305412094,383.1310196098098,15.426229508196723,1.6712489859442614,1.1796010607913527,-2.992318941978254,0.1622103386809269,3.7107925350303064,1.4193377165664949,False,False,False,False,False,False
