pt,a,b,c,d,n_pt_total,ror,ror_ci_lower,ror_ci_upper,ror_signal,prr,chi2,prr_signal,ic,ic025,expected_count,bcpnn_signal,ebgm,eb05,mgps_signal,consensus_signal,strict_signal,signal_category
Lacrimation increased,4,412,3425,1806294,3429,5.120243781447098,1.9114953499735226,13.71538590549583,True,5.080626052779338,9.352744823005505,True,1.8047443778202843,-1.0209491873495842,0.7880428807796104,False,4.510857050822756,1.7676898398661343,False,False,False,Clinical AE
Neoplasm progression,2,414,1735,1807984,1737,5.0341338456612235,1.2537902353078036,20.212714106686526,False,5.014738971403237,3.039187411148398,False,1.4752264675000706,-2.0019135480989636,0.39919232543429084,False,3.9321117854372956,0.9381998193901208,False,False,False,Administrative/case-context
Clostridium difficile colitis,1,415,882,1808837,883,4.9417725323060955,0.6936790094188408,35.20521080998954,False,4.932297117564975,0.43520171913777483,False,1.0935126236316588,-2.9937223257964742,0.20292851085692504,False,2.9753727605354987,0.29769788829372984,False,False,False,Clinical AE
Disseminated intravascular coagulation,1,415,904,1808815,905,4.821449514873654,0.6768074776675325,34.347101933017775,False,4.8122633381552085,0.41029658949369546,False,1.0831728458593064,-2.994112616624638,0.20798448734486655,False,2.9036965235244487,0.2905263954703599,False,False,False,Clinical AE
Akathisia,1,415,954,1808765,955,4.568626708090222,0.6413540350678133,32.544193778508564,False,4.5600482785034675,0.35882719576856514,False,1.0599453501192568,-2.995160412251293,0.21947534299927907,False,2.752972324993801,0.2754458394430664,False,False,False,Clinical AE
Oral discomfort,1,415,969,1808750,970,4.49786763151678,0.6314307411451163,32.03963936560525,False,4.489459295864095,0.3446519321436072,False,1.0530494034983195,-2.995516847900536,0.22292259969560282,False,2.710759539766708,0.2712222822512473,False,False,False,Clinical AE
Ageusia,2,414,1947,1807772,1949,4.485463825183795,1.1172365788915368,18.00816953826721,False,4.46870678756272,2.474436601151482,False,1.3991006936836923,-2.011684930241932,0.44791355340899985,False,3.5062037881350885,0.8365783935635149,False,False,False,Clinical AE
Compression fracture,1,415,985,1808734,986,4.424766680936946,0.6211786904994382,31.51840280449456,False,4.416534068723155,0.33012257732174066,False,1.0457298781248725,-2.995917799723149,0.2265996735050148,False,2.667136479847847,0.26685762146285635,False,False,False,Clinical AE
Breast cancer metastatic,1,415,1004,1808715,1005,4.340985455767292,0.6094283699408813,30.921032982122522,False,4.332954240729391,0.31362182648591297,False,1.0370859010069668,-2.99642122518304,0.23096619865369158,False,2.6171234734372404,0.2618536210925032,False,False,False,Clinical AE
Intestinal perforation,1,415,1011,1808708,1012,4.310912492700774,0.6052105277716322,30.706614751315087,False,4.302953568439474,0.30774009751498954,False,1.0339142880291579,-2.9966140483727903,0.23257491844530934,False,2.5991671930575024,0.2600570237647465,False,False,False,Clinical AE
Candida infection,2,414,2064,1807655,2066,4.230926768527881,1.053879045363385,16.985574767238557,False,4.215393466756113,2.216656874691741,False,1.3587467483891291,-2.0177583253842615,0.4748021556403252,False,3.3084329399635086,0.7893903724288178,False,False,False,Clinical AE
Troponin increased,1,415,1037,1808682,1038,4.202767482659665,0.5900423273228272,29.935571899467213,False,4.19506852236481,0.2867780869434381,False,1.0221946813756155,-2.9973642189230274,0.23855016338560384,False,2.534576074675224,0.25359442526281156,False,False,False,Clinical AE
Inappropriate antidiuretic hormone secretion,1,415,1045,1808674,1046,4.1705747391479795,0.5855268960095582,29.706054108461146,False,4.162953165255797,0.28059762195328436,False,1.0186077184437008,-2.9976056422780277,0.24038870029030984,False,2.515342836328457,0.2516700632074664,False,False,False,Clinical AE
Posterior reversible encephalopathy syndrome,1,415,1045,1808674,1046,4.1705747391479795,0.5855268960095582,29.706054108461146,False,4.162953165255797,0.28059762195328436,False,1.0186077184437008,-2.9976056422780277,0.24038870029030984,False,2.515342836328457,0.2516700632074664,False,False,False,Clinical AE
Rash maculo-papular,2,414,2110,1807609,2112,4.138583236028116,1.0308922969295338,16.614607803887512,False,4.123493893547211,2.123942475271998,False,1.343185160965892,-2.020263404738201,0.48537374284238466,False,3.236654593951622,0.772264096539643,False,False,False,Clinical AE
Product leakage,1,415,1055,1808664,1056,4.1310203848569635,0.5799788182100899,29.424056334971326,False,4.123493893547211,0.27304288288792394,False,1.014136519793115,-2.997914320284676,0.24268687142119233,False,2.491707911424354,0.24930529489095257,False,False,False,Administrative/case-context
Throat tightness,2,414,2149,1807570,2151,4.063388656222532,1.0121738807897396,16.312540448717467,False,4.048660826144539,2.048795955763988,False,1.3301218634053442,-2.0224358295192157,0.49433661025282644,False,3.1781946521872375,0.7583155849515367,False,False,False,Clinical AE
Osteomyelitis,1,415,1099,1808620,1100,3.965532740607562,0.5567656830494989,28.244287310776055,False,3.958404056134948,0.24193005810441237,False,0.9946262205147491,-2.9993614521152576,0.25279882439707535,False,2.3927813899020602,0.23940730263127663,False,False,False,Clinical AE
Sinus tachycardia,1,415,1112,1808607,1113,3.9191449250238364,0.5502585033919647,27.9136021500043,False,3.9121277497232985,0.2333613521994642,False,0.9889119478928386,-2.999816057789186,0.2557864468672226,False,2.3650389546135884,0.23663156155068102,False,False,False,Clinical AE
Pneumonia aspiration,2,414,2250,1807469,2252,3.8807707997852927,0.9667124078739899,15.578968344460609,False,3.86692094017094,1.8677221665863113,False,1.2968310470449582,-2.0282569918055366,0.5175481386747397,False,3.036175891862251,0.7244299828736971,False,False,False,Clinical AE
