pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal,four_algorithm_signal
Feeling abnormal,trastuzumab_deruxtecan_alone,1,181,10,1620,182,1630,0.8950276243093923,0.1139156257844451,7.0321735298433445,0.8956043956043956,0.0,-0.09748181315220304,-3.308831830780909,1.1048565121412803,1.4969969257222628,0.44645429871225184,False,False,False,False,False,False
Ascites,trastuzumab_deruxtecan_alone,2,180,20,1610,182,1630,0.8944444444444445,0.20736667955224508,3.8580492580823087,0.8956043956043956,0.0,-0.11621197426845799,-2.5959503155492314,2.2097130242825607,1.2397963283144775,0.4586381764145479,False,False,False,False,False,False
Nausea,trastuzumab_deruxtecan_alone,14,168,144,1486,182,1630,0.8599537037037037,0.4856318538735618,1.5228003818428633,0.8707264957264957,0.1439826502044704,-0.1749800210894247,-1.1947262248241615,15.869757174392936,0.9349613096572404,0.6022944952034637,False,False,False,False,False,False
Intentional product use issue,trastuzumab_deruxtecan_alone,1,181,11,1619,182,1630,0.8131592164741336,0.1043779434195134,6.334939065423381,0.8141858141858143,0.0,-0.18506138202434566,-3.3503917539908565,1.205298013245033,1.4006339892996142,0.4177156644083303,False,False,False,False,False,False
Seizure,trastuzumab_deruxtecan_alone,1,181,11,1619,182,1630,0.8131592164741336,0.1043779434195134,6.334939065423381,0.8141858141858143,0.0,-0.18506138202434566,-3.3503917539908565,1.205298013245033,1.4006339892996142,0.4177156644083303,False,False,False,False,False,False
Hepatic failure,trastuzumab_deruxtecan_alone,1,181,11,1619,182,1630,0.8131592164741336,0.1043779434195134,6.334939065423381,0.8141858141858143,0.0,-0.18506138202434566,-3.3503917539908565,1.205298013245033,1.4006339892996142,0.4177156644083303,False,False,False,False,False,False
Sepsis,trastuzumab_deruxtecan_alone,1,181,11,1619,182,1630,0.8131592164741336,0.1043779434195134,6.334939065423381,0.8141858141858143,0.0,-0.18506138202434566,-3.3503917539908565,1.205298013245033,1.4006339892996142,0.4177156644083303,False,False,False,False,False,False
Platelet count decreased,trastuzumab_deruxtecan_alone,2,180,23,1607,182,1630,0.7763285024154589,0.18153625292696637,3.3199205885619714,0.7787864309603441,5.468832615127529e-05,-0.26833259409057497,-2.6877968254454276,2.511037527593819,1.1094514629903196,0.41041966667065716,False,False,False,False,False,False
Pleural effusion,trastuzumab_deruxtecan_alone,2,180,24,1606,182,1630,0.7435185185185185,0.174281080138134,3.1720011543525626,0.7463369963369964,0.005367192071499667,-0.31567242763682424,-2.7173562847775226,2.6114790286975715,1.0718874891802568,0.39652361612294096,False,False,False,False,False,False
Constipation,trastuzumab_deruxtecan_alone,3,179,36,1594,182,1630,0.7420856610800745,0.22623192133890255,2.4341884430875624,0.7463369963369964,0.050485824043411585,-0.3357832898019021,-2.359307763644155,3.9172185430463577,0.977638605401763,0.41289887857766927,False,False,False,False,False,False
Back pain,trastuzumab_deruxtecan_alone,1,181,13,1617,182,1630,0.6872078198045048,0.08937629120928245,5.28389107682523,0.6889264581572274,0.0,-0.34572262676153315,-3.4320129195026956,1.4061810154525387,1.2408809171664834,0.37007198220643567,False,False,False,False,False,False
Neutrophil count decreased,trastuzumab_deruxtecan_alone,2,180,26,1604,182,1630,0.6854700854700855,0.16135863910977816,2.911955880804728,0.6889264581572274,0.039172309927744314,-0.40593226866469095,-2.774948496413643,2.8123620309050774,1.0039066460046158,0.37137544522330035,False,False,False,False,False,False
Pulmonary embolism,trastuzumab_deruxtecan_alone,1,181,14,1616,182,1630,0.6377269139700079,0.08337171319525072,4.878100751621322,0.6397174254317112,3.2630396939009315e-05,-0.41980674342671565,-3.471891914074551,1.5066225165562914,1.1739328829335984,0.35010585057314214,False,False,False,False,False,False
Decreased appetite,trastuzumab_deruxtecan_alone,3,179,46,1584,182,1630,0.5771192615982511,0.17767272246593155,1.8746076352354852,0.584089823220258,0.4691832788864827,-0.6313726832663401,-2.570265039313608,4.921633554083885,0.791545742580424,0.3343038497544546,False,False,False,False,False,False
Metastases to liver,trastuzumab_deruxtecan_alone,3,179,47,1583,182,1630,0.5644835373826221,0.17391370297427197,1.8321826200384945,0.5716623801730185,0.5273656228523181,-0.6578555748888634,-2.589817901457278,5.022075055187638,0.7767601641595895,0.3280592633445553,False,False,False,False,False,False
Abdominal pain,trastuzumab_deruxtecan_alone,1,181,16,1614,182,1630,0.5573204419889503,0.0734779437302347,4.227201515043906,0.5597527472527473,0.02829837624520722,-0.5574545438946955,-3.5495468326391015,1.7075055187637969,1.0595979767559198,0.3160073768362916,False,False,False,False,False,False
Product dose omission issue,trastuzumab_deruxtecan_alone,1,181,16,1614,182,1630,0.5573204419889503,0.0734779437302347,4.227201515043906,0.5597527472527473,0.02829837624520722,-0.5574545438946955,-3.5495468326391015,1.7075055187637969,1.0595979767559198,0.3160073768362916,False,False,False,False,False,False
Cardiac failure,trastuzumab_deruxtecan_alone,1,181,18,1612,182,1630,0.49478207489257214,0.06566431740369758,3.7281938092790345,0.49755799755799757,0.09818129359898471,-0.6831056455562161,-3.624278649256853,1.9083885209713025,0.9655577187579906,0.28796144253022865,False,False,False,False,False,False
Dizziness,trastuzumab_deruxtecan_alone,1,181,18,1612,182,1630,0.49478207489257214,0.06566431740369758,3.7281938092790345,0.49755799755799757,0.09818129359898471,-0.6831056455562161,-3.624278649256853,1.9083885209713025,0.9655577187579906,0.28796144253022865,False,False,False,False,False,False
Metastases to lung,trastuzumab_deruxtecan_alone,1,181,20,1610,182,1630,0.4447513812154696,0.05933763465953178,3.3335300981919667,0.4478021978021978,0.19793494153550367,-0.7986845794101413,-3.6960799560846813,2.109271523178808,0.8868490783467551,0.2644879067776827,False,False,False,False,False,False
Fatigue,trastuzumab_deruxtecan_alone,5,177,100,1530,182,1630,0.4322033898305085,0.17370027508690344,1.0754143600954302,0.4478021978021978,2.849369790598109,-1.0060672154822876,-2.4817428934172616,10.54635761589404,0.5663080237971791,0.2805588726251363,False,False,False,False,False,False
Interstitial lung disease,trastuzumab_deruxtecan_alone,7,175,141,1489,182,1630,0.4224113475177305,0.1946124843846872,0.916854574237091,0.4446262956901255,4.417600156000494,-1.0347173932438678,-2.2942740661244523,14.86534216335541,0.5369057155978382,0.2927204043129389,False,False,False,False,False,False
Metastases to central nervous system,trastuzumab_deruxtecan_alone,2,180,45,1585,182,1630,0.391358024691358,0.09414771541686943,1.6268169951034,0.3980463980463981,1.1922644024798903,-1.0623291332931601,-3.2371520218878267,4.72075055187638,0.6264606910586146,0.23174676548133907,False,False,False,False,False,False
Pain,trastuzumab_deruxtecan_alone,1,181,25,1605,182,1630,0.3546961325966851,0.04777710541638153,2.633255936763143,0.35824175824175825,0.5335355115098673,-1.0526380218030305,-3.863384406122539,2.6114790286975715,0.7367137337021812,0.21971255096131997,False,False,False,False,False,False
Alopecia,trastuzumab_deruxtecan_alone,2,180,51,1579,182,1630,0.34400871459694987,0.08304934119082275,1.4249600782109872,0.3512174100409395,1.7148200925860855,-1.2199335143179473,-3.3580072711743423,5.323399558498896,0.5599750620236121,0.20715171953549158,False,False,False,False,False,False
White blood cell count decreased,trastuzumab_deruxtecan_alone,1,181,30,1600,182,1630,0.2946593001841621,0.03994489263379096,2.173597109923691,0.29853479853479853,0.9458631895543363,-1.2685088657067622,-4.014991095118958,3.1136865342163356,0.6300517936947251,0.18790241106918765,False,False,False,False,False,False
Anaemia,trastuzumab_deruxtecan_alone,1,181,32,1598,182,1630,0.2758977900552486,0.03747650807215936,2.0311281512889385,0.27987637362637363,1.1247938438412166,-1.3465577613960773,-4.071744454295421,3.314569536423841,0.5955614679883724,0.17761624821139987,False,False,False,False,False,False
Death,trastuzumab_deruxtecan_alone,4,178,134,1496,182,1630,0.25088042931410365,0.09168775616646772,0.6864710452566174,0.26734459570280467,7.607093926847152,-1.6741519870957116,-3.201769514412671,13.860927152317881,0.3640161689031965,0.1684847599302221,False,False,False,False,False,False
Pneumonitis,trastuzumab_deruxtecan_alone,1,181,52,1578,182,1630,0.16765830854228644,0.023039322516840977,1.2200579423597875,0.17223161453930685,3.144656766410648,-1.9568991084841534,-4.5460243038103645,5.323399558498896,0.38487371378783736,0.11478214886715682,False,False,False,False,False,False
Diarrhoea,trastuzumab_deruxtecan_alone,1,181,73,1557,182,1630,0.11783849239385454,0.01628008010211951,0.8529386957898748,0.12268553364443777,5.4882594973454655,-2.402844229953929,-4.920478274102093,7.432671081677705,0.2806324113212599,0.08369392364110048,False,False,False,False,False,False
Vomiting,trastuzumab_deruxtecan_alone,1,181,75,1555,182,1630,0.114548802946593,0.01583118894785974,0.8288340376527,0.11941391941391943,5.7184282027348905,-2.438923397553449,-4.951608537328246,7.63355408388521,0.27357558203567556,0.08158934231852526,False,False,False,False,False,False
Asthenia,trastuzumab_deruxtecan_alone,1,181,84,1546,182,1630,0.10168376742962379,0.01407263445925055,0.734730130923365,0.10661957090528519,6.766195559101888,-2.5909656462560196,-5.084007244394743,8.537527593818984,0.24576533059752526,0.07329539989987909,False,False,False,False,False,False
Myelosuppression,trastuzumab_deruxtecan_alone,1,181,239,1391,182,1630,0.03215515846413463,0.004483392789755466,0.23061869979721386,0.03747298726378225,27.164250329238037,-4.035973413921284,-6.414098301577866,24.105960264900663,0.08934580839664939,0.026645893218090605,False,False,False,False,False,False
