pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal,four_algorithm_signal
Renal impairment,active_breast_comparator,1,181,10,4097,182,4107,2.26353591160221,0.2881942342005155,17.778269705243396,2.2565934065934066,0.0024760318034833763,0.6337097243603351,-3.054256880346684,0.4667754721380275,2.4460147641258354,0.5372257057067714,False,False,False,False,False,False
Palpitations,active_breast_comparator,1,181,10,4097,182,4107,2.26353591160221,0.2881942342005155,17.778269705243396,2.2565934065934066,0.0024760318034833763,0.6337097243603351,-3.054256880346684,0.4667754721380275,2.4460147641258354,0.5372257057067714,False,False,False,False,False,False
Dehydration,active_breast_comparator,2,180,22,4085,182,4107,2.063131313131313,0.48142378904231536,8.841504952819866,2.051448551448552,0.23915533686859433,0.7193579434696857,-2.1899680131682144,1.0184192119375146,2.1269656317696213,0.6724703999243037,False,False,False,False,False,False
Insomnia,active_breast_comparator,1,181,11,4096,182,4107,2.0572576594676044,0.26416399767173004,16.02152115632922,2.051448551448552,0.0,0.5717366572119289,-3.0687778306022033,0.5092096059687573,2.27873024163914,0.5004844942616096,False,False,False,False,False,False
Hypocalcaemia,active_breast_comparator,1,181,11,4096,182,4107,2.0572576594676044,0.26416399767173004,16.02152115632922,2.051448551448552,0.0,0.5717366572119289,-3.0687778306022033,0.5092096059687573,2.27873024163914,0.5004844942616096,False,False,False,False,False,False
Cystitis haemorrhagic,active_breast_comparator,1,181,11,4096,182,4107,2.0572576594676044,0.26416399767173004,16.02152115632922,2.051448551448552,0.0,0.5717366572119289,-3.0687778306022033,0.5092096059687573,2.27873024163914,0.5004844942616096,False,False,False,False,False,False
Cataract,active_breast_comparator,1,181,11,4096,182,4107,2.0572576594676044,0.26416399767173004,16.02152115632922,2.051448551448552,0.0,0.5717366572119289,-3.0687778306022033,0.5092096059687573,2.27873024163914,0.5004844942616096,False,False,False,False,False,False
Feeling abnormal,active_breast_comparator,1,181,11,4096,182,4107,2.0572576594676044,0.26416399767173004,16.02152115632922,2.051448551448552,0.0,0.5717366572119289,-3.0687778306022033,0.5092096059687573,2.27873024163914,0.5004844942616096,False,False,False,False,False,False
Rash,active_breast_comparator,5,177,59,4048,182,4107,1.9381403811165374,0.7683425804297038,4.888949581336174,1.912367293723226,1.242681819608332,0.7742608592523974,-1.2107323978242077,2.7157845651667056,1.9078063640720377,0.8977357541253341,False,False,False,False,False,False
Throat tightness,active_breast_comparator,1,181,12,4095,182,4107,1.8853591160220995,0.243816586081563,14.578905617104054,1.8804945054945057,0.0,0.5123164480615532,-3.084023021527,0.5516437397994871,2.132862410005237,0.4684470961482559,False,False,False,False,False,False
Intentional product use issue,active_breast_comparator,1,181,12,4095,182,4107,1.8853591160220995,0.243816586081563,14.578905617104054,1.8804945054945057,0.0,0.5123164480615532,-3.084023021527,0.5516437397994871,2.132862410005237,0.4684470961482559,False,False,False,False,False,False
Vision blurred,active_breast_comparator,1,181,12,4095,182,4107,1.8853591160220995,0.243816586081563,14.578905617104054,1.8804945054945057,0.0,0.5123164480615532,-3.084023021527,0.5516437397994871,2.132862410005237,0.4684470961482559,False,False,False,False,False,False
Myalgia,active_breast_comparator,1,181,13,4094,182,4107,1.7399065023374416,0.22636703462154986,13.373301646758051,1.7358410819949284,0.0,0.4552470716384759,-3.099857402822077,0.5940778736302168,2.0045458785559904,0.44026454378892754,False,False,False,False,False,False
Chest discomfort,active_breast_comparator,3,179,41,4066,182,4107,1.6620793023572693,0.5098061968917218,5.41874073749472,1.6511659072634681,0.2263649990389318,0.5642331158814726,-1.8153447868022763,1.86710188855211,1.7175347478228804,0.6573339096967094,False,False,False,False,False,False
Product use issue,active_breast_comparator,1,181,15,4092,182,4107,1.507182320441989,0.19799681356442184,11.472904569314155,1.5043956043956044,0.0,0.3474646886513461,-3.132861819338878,0.6789461412916764,1.7892566033228237,0.39297990163772945,False,False,False,False,False,False
Renal failure,active_breast_comparator,1,181,15,4092,182,4107,1.507182320441989,0.19799681356442184,11.472904569314155,1.5043956043956044,0.0,0.3474646886513461,-3.132861819338878,0.6789461412916764,1.7892566033228237,0.39297990163772945,False,False,False,False,False,False
Constipation,active_breast_comparator,3,179,49,4058,182,4107,1.3879831262113784,0.4285048889484966,4.49585805981099,1.381587799955147,0.04124816068815179,0.3708865776903956,-1.9179382767706734,2.2065749591979484,1.4659821254154946,0.5610598348978691,False,False,False,False,False,False
Pyrexia,active_breast_comparator,6,176,101,4006,182,4107,1.3521602160216022,0.5853139962464402,3.1236861949595074,1.3405505385703407,0.21718876774483037,0.3668865141026313,-1.311340053621139,4.540452319888086,1.3741728332643177,0.689474763169907,False,False,False,False,False,False
Ascites,active_breast_comparator,2,180,35,4072,182,4107,1.2926984126984127,0.30849684082301054,5.416811341519423,1.289481946624804,0.0,0.2722534533570475,-2.384981281366562,1.5700629517370017,1.429104982133157,0.45183184180993446,False,False,False,False,False,False
Pulmonary embolism,active_breast_comparator,1,181,18,4089,182,4107,1.2550644567219154,0.16662368801133245,9.453558550567822,1.2536630036630039,0.0,0.19953307295895667,-3.184504198837042,0.8062485427838657,1.541000254057463,0.3384546001610909,False,False,False,False,False,False
Product dose omission issue,active_breast_comparator,1,181,18,4089,182,4107,1.2550644567219154,0.16662368801133245,9.453558550567822,1.2536630036630039,0.0,0.19953307295895667,-3.184504198837042,0.8062485427838657,1.541000254057463,0.3384546001610909,False,False,False,False,False,False
Nausea,active_breast_comparator,14,168,256,3851,182,4107,1.2535807291666667,0.716267437976038,2.1939635410183254,1.2340745192307694,0.4059150143036318,0.2781713582576654,-0.8264250889799001,11.457216134297038,1.2437809282546894,0.7915101516033037,False,False,False,False,False,False
Feeling hot,active_breast_comparator,1,181,19,4088,182,4107,1.1887176504797907,0.15825528154865265,8.928925712522133,1.1876807403123193,0.0,0.15341155549417246,-3.2020489270963473,0.8486826766145955,1.472880361727494,0.32349321981034074,False,False,False,False,False,False
Mucosal inflammation,active_breast_comparator,1,181,20,4087,182,4107,1.1290055248618784,0.15068322446618304,8.45915980152594,1.1282967032967033,0.0,0.10871893434588832,-3.219684802176559,0.8911168104453252,1.4105279936454367,0.30979857845467307,False,False,False,False,False,False
Pain in extremity,active_breast_comparator,1,181,20,4087,182,4107,1.1290055248618784,0.15068322446618304,8.45915980152594,1.1282967032967033,0.0,0.10871893434588832,-3.219684802176559,0.8911168104453252,1.4105279936454367,0.30979857845467307,False,False,False,False,False,False
Platelet count decreased,active_breast_comparator,2,180,44,4063,182,4107,1.026010101010101,0.2467838705710942,4.265662601606266,1.025724275724276,0.0,0.027986675297781025,-2.513524509763494,1.9519701562135696,1.1645750221905642,0.3681969370905041,False,False,False,False,False,False
Anaphylactic reaction,active_breast_comparator,1,181,22,4085,182,4107,1.0258663987945755,0.13751320990347726,7.6530965200685,1.025724275724276,0.0,0.023284364587184858,-3.2550962420504646,0.9759850781067848,1.3004246122782765,0.28561623596713137,False,False,False,False,False,False
Fall,active_breast_comparator,1,181,23,4084,182,4107,0.9810233005044439,0.13175092490045934,7.3047435291991425,0.98112756808409,0.0,-0.017607650696520528,-3.2728169234287674,1.0184192119375146,1.2515766552016643,0.2748876097144621,False,False,False,False,False,False
Metastases to liver,active_breast_comparator,3,179,69,4038,182,4107,0.9808112703424824,0.3057539977084609,3.1462900084403826,0.9811275680840899,0.0,-0.02259918812219739,-2.1518042399960065,3.0552576358125436,1.0730726836351716,0.4106857595846368,False,False,False,False,False,False
